tour_code,tour_slug,day_number,title,location,description,flight_id,drive_time_notes,attraction_codes
SUMC,summer-circuit,8,Balkh — Ancient north,Mazar-e-Sharif,Balkh’s ruins and northern city fabric — a distinct counterpoint to Bamyan’s high valleys.,,Local transfers.,BAL-002;BAL-003
SUMC,summer-circuit,9,Return toward Kabul,Kabul,"Domestic flight if available, otherwise road return. Buffer time in Kabul.",,Flight preferred when scheduled; road contingency.,KBL-007
SUMC,summer-circuit,10,Departure,Kabul,Airport transfer and departure.,,Short city transfers.,
FEAF,fall-eastern-afghanistan,1,Kabul — Autumn arrival,Kabul,"Arrive Kabul. Briefing on the eastern plan: which valley days are currently workable, and which remain flexible.",,Short city transfers.,KBL-003
FEAF,fall-eastern-afghanistan,2,Kabul → Jalalabad,Jalalabad,Descend toward Jalalabad / Nangarhar — orchard country and eastern approaches in autumn colour where the road allows.,,Drive times vary with traffic and conditions.,NGH-001
FEAF,fall-eastern-afghanistan,3,Jalalabad & surrounds,Jalalabad,"Eastern city day: Jalalabad context, nearby sites such as Hadda or river country only if access is confirmed.",,Local movements; site list flexible.,NGH-001;NGH-003
FEAF,fall-eastern-afghanistan,4,Laghman valleys,Laghman,Condition-based day into Laghman — river valleys and highland edges. Exact stops set from current local advice.,,Flexible eastern day.,LGM-001
FEAF,fall-eastern-afghanistan,5,Toward Kunar country,Kunar,"Where access and timing allow, a carefully planned look at Kunar river-valley landscapes. This day may shorten, shift, or substitute — honesty over ambition.",,Access checked before confirmation; may be reshaped.,KNR-001
FEAF,fall-eastern-afghanistan,6,Eastern valleys — flexible,Jalalabad,"Hold day for the strongest workable eastern option: deeper valley time, a cultural stop, or a measured return toward Jalalabad.",,Condition-led; not a fixed checklist.,
FEAF,fall-eastern-afghanistan,7,Return to Kabul,Kabul,Road return to Kabul with autumn light on the passes. Evening buffer in the capital.,,Drive times vary.,KBL-003
FEAF,fall-eastern-afghanistan,8,Departure,Kabul,Airport transfer and departure.,,Short city transfers.,
SPAT,spring-afghanistan-tour,1,Kabul — Spring arrival,Kabul,Arrive as spring opens the highlands. Orientation and a first Kabul walk.,,Short city transfers.,KBL-003
SPAT,spring-afghanistan-tour,2,Parwan & Panjshir approaches,Parwan,"North toward Parwan / Panjshir country — valley green-up, viewpoints, and history stops as access allows.",,Drive times vary.,PRW-001;PJR-001
SPAT,spring-afghanistan-tour,3,Toward Bamyan,Bamyan,Cross into Bamyan highland roads as spring snowline retreats.,,Route by spring conditions.,BMY-001
SPAT,spring-afghanistan-tour,4,Bamyan — Valley & niches,Bamyan,Ancient valley day: Buddha niches and Bamyan town in spring light.,,Local transfers.,BMY-001;BMY-002
SPAT,spring-afghanistan-tour,5,Band-e-Amir,Bamyan,Blue lakes day when the road is open — classic spring/early-summer window.,,Day trip; weather dependent.,BMY-004
SPAT,spring-afghanistan-tour,6,Return to Kabul / flight prep,Kabul,Return to Kabul and prepare for the Herat leg — flight timing confirmed against current schedules.,,Road return; flight check for next day.,KBL-002
SPAT,spring-afghanistan-tour,7,Fly to Herat,Herat,Domestic flight to Herat when available. Afternoon citadel or old-city orientation.,FL-KBL-HER,Flight segment; road not assumed.,HER-002
SPAT,spring-afghanistan-tour,8,Herat — Timurid city,Herat,"Friday Mosque, minarets/Musalla context, and Herat’s urban fabric — west Afghanistan as its own chapter, not a Bamyan clone.",,Short city transfers.,HER-003;HER-004;HER-001
SPAT,spring-afghanistan-tour,9,Herat → Kabul,Kabul,Return flight to Kabul (or confirmed alternative). Buffer evening in the capital.,FL-HER-KBL,Flight if available.,KBL-003
SPAT,spring-afghanistan-tour,10,Departure,Kabul,Airport transfer and departure.,,Short city transfers.,
BUZE,buzkashi-expedition,1,Kabul — Arrival,Kabul,Arrive Kabul. Briefing: this journey locks to a confirmed match date — day order can shift until the game is verified locally.,,Short city transfers.,KBL-003
BUZE,buzkashi-expedition,2,Kabul — Context day,Kabul,"City day while match confirmation is tracked with northern contacts. Museums, gardens, and hospitality — not empty waiting.",,Short city transfers.,KBL-001;KBL-002;KBL-005
BUZE,buzkashi-expedition,3,North toward the plains,Samangan,Drive north via Salang / Samangan country toward the Mazar basin — Buddhist heritage stops if timing allows.,,Drive times vary; winter roads.,SAM-001;PRW-001
BUZE,buzkashi-expedition,4,Mazar — Shrine city,Mazar-e-Sharif,Mazar-e-Sharif orientation and Blue Mosque exterior arrangements confirmed locally.,,Short city transfers.,BAL-001
BUZE,buzkashi-expedition,5,Buzkashi match day (confirmed locally),Mazar-e-Sharif,"Match day only when a game is confirmed — venue, timing, and viewing arrangements set with local hosts. If the match moves, this day moves with it.",,Scheduled around confirmed match dates — not a fake fixed event.,BAL-001
BUZE,buzkashi-expedition,6,Balkh & northern fabric,Mazar-e-Sharif,Ancient Balkh and northern city life — cultural depth beyond the arena.,,Local transfers.,BAL-002;BAL-003
BUZE,buzkashi-expedition,7,Flexible cultural / second match window,Mazar-e-Sharif,"Hold for a second confirmed game, a training-ground visit, or deeper Balkh/Mazar time — decided from real local information.",,Flexible by match calendar.,
BUZE,buzkashi-expedition,8,Return to Kabul,Kabul,Road or flight return to Kabul.,,Flight if available; road contingency.,KBL-007
BUZE,buzkashi-expedition,9,Departure,Kabul,Airport transfer and departure.,,Short city transfers.,
SIGA,signature-afghan-tour,1,Kabul — Flagship opening,Kabul,"Arrive Kabul. Frame the two-week arc: highlands, north, west, and south — each leg confirmed against current access before it is treated as bookable.",,Short city transfers.,KBL-003
SIGA,signature-afghan-tour,2,Kabul — Capital depth,Kabul,Fuller Kabul day before the long circuit begins.,,Short city transfers.,KBL-001;KBL-002;KBL-003;KBL-005
SIGA,signature-afghan-tour,3,Kabul → Bamyan,Bamyan,Into the Hindu Kush toward Bamyan.,,Drive times vary.,BMY-001
SIGA,signature-afghan-tour,4,Bamyan — Ancient valley,Bamyan,Buddha niches and valley context (UNESCO landscape).,,Local transfers.,BMY-001;BMY-002
SIGA,signature-afghan-tour,5,Band-e-Amir,Bamyan,Blue lakes day; access and visitor rules checked locally (including female-visitor notes where relevant).,,Day trip.,BMY-004
SIGA,signature-afghan-tour,6,Bamyan → north,Samangan,Across the mountains toward Samangan / Aybak as conditions allow.,,Route by conditions.,SAM-001
SIGA,signature-afghan-tour,7,Mazar & Balkh,Mazar-e-Sharif,Northern shrine city and ancient Balkh.,,Local transfers.,BAL-001;BAL-002
SIGA,signature-afghan-tour,8,North → Herat transit,Herat,Flight (preferred) or confirmed long transit toward Herat — only once the west leg is operationally realistic.,FL-MAZ-HER,Flight options checked; not assumed.,
SIGA,signature-afghan-tour,9,Herat — Western city,Herat,"Citadel, Friday Mosque, and Timurid urban fabric.",,Short city transfers.,HER-002;HER-003;HER-004
SIGA,signature-afghan-tour,10,Herat depth / buffer,Herat,Second Herat day or buffer before the south leg — used for sites missed or rest before Kandahar routing.,,Flexible.,HER-001
SIGA,signature-afghan-tour,11,Herat → Kandahar,Kandahar,South to Kandahar when the route/flight is confirmed. Durrani capital context begins on arrival.,FL-HER-KDH,Segment confirmed before advertising as bookable.,KDR-001
SIGA,signature-afghan-tour,12,Kandahar — Southern chapter,Kandahar,"Kandahar city and carefully chosen sites — a distinct southern chapter, not a repeat of Bamyan or Herat.",,Local transfers; access confirmed locally.,KDR-001;KDR-004
SIGA,signature-afghan-tour,13,Return to Kabul,Kabul,Flight return to Kabul when available; road only if explicitly agreed as contingency.,FL-KDH-KBL,Flight preferred.,KBL-003
SIGA,signature-afghan-tour,14,Departure,Kabul,Airport transfer and departure.,,Short city transfers.,
HSRA,heart-of-the-silk-road,1,Kabul — Welcome to Afghanistan,Kabul,"Arrive Kabul. Welcome briefing, hotel check-in, and a gentle first orientation to the capital — the journey begins as hospitality, not a rush to the sights.",,Short city transfers.,KBL-003;KBL-007
HSRA,heart-of-the-silk-road,2,Kabul — The capital’s many histories,Kabul,"Kabul’s layered histories: gardens, museums, and neighbourhood fabric chosen for the season and guest pace. A capital day that sets context for the road ahead.",,Short city transfers.,KBL-001;KBL-002;KBL-003;KBL-005
HSRA,heart-of-the-silk-road,3,Kabul → Bamyan — Into the Hindu Kush,Bamyan,Drive into the Hindu Kush toward Bamyan. Mountain approaches and valley entry; sightseeing shaped by travel time and road choice (Parwan or Wardak by conditions).,,Drive times vary; conditions may affect timing.,BMY-001
HSRA,heart-of-the-silk-road,4,Bamyan — The ancient valley,Bamyan,Bamyan’s ancient valley — Buddha niches and the wider UNESCO cultural landscape. Time in town and on the cliffs with a guide who knows what is open today.,,Short local transfers.,BMY-001;BMY-002;BMY-003
HSRA,heart-of-the-silk-road,5,Band-e-Amir — The blue lakes,Bamyan,"Day visit to Band-e-Amir’s blue lakes. Access and visitor rules — including notes that can affect female visitors — are checked with the team before departure. If the road or site rules block the visit, we reshape the day honestly.",,Day trip; access confirmed locally.,BMY-004
HSRA,heart-of-the-silk-road,6,Bamyan → Samangan — Across the mountains,Samangan,Across the mountains toward Samangan. Route by conditions; overnight in Aybak or another confirmed stop — not forced through unsafe timing.,,Route by conditions; overnight Aybak or confirmed stop.,SAM-001
HSRA,heart-of-the-silk-road,7,Samangan → Mazar — Buddhist heritage,Mazar-e-Sharif,"Buddhist heritage around Takht-e Rustam / Samangan if access allows, then continue into the Mazar basin.",,Access-dependent heritage stop.,SAM-001;SAM-002
HSRA,heart-of-the-silk-road,8,Mazar & Balkh — Northern cities,Mazar-e-Sharif,Northern cities: Mazar-e-Sharif and Balkh. Hazrat Ali (Blue Mosque) exterior arrangements confirmed locally — we do not invent interior access.,,Short city transfers.,BAL-001;BAL-002;BAL-003
HSRA,heart-of-the-silk-road,9,Return to Kabul,Kabul,Return to Kabul — domestic flight if available; otherwise road contingency with clear timing expectations. Buffer evening in the capital.,,Domestic flight if available; road contingency noted.,KBL-003
HSRA,heart-of-the-silk-road,10,Departure,Kabul,Hotel check-out and airport transfer for departing flights.,,Short city transfers.,
